Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
American Samoa,Pago Pago,5/6/2024,avg,28.37950039,29.2045002,29.10450077,28.27950096,28.02950001,27.65450001,27.85449982
American Samoa,Pago Pago,5/7/2024,max,29.75449944,29.25449944,29.2045002,28.7045002,28.80450058,28.50449944,29.85449982
American Samoa,Pago Pago,5/7/2024,min,28.05450058,28.10449982,27.35449982,26.9545002,27.75449944,27.30450058,27.40450096
American Samoa,Pago Pago,5/7/2024,avg,28.90450001,28.67949963,28.27950001,27.8295002,28.27950001,27.90450001,28.62950039
Andorra,Andorra la Vella,4/24/2024,max,11.30900002,10.30900002,11.75900078,9.708499908,10.45849991,9.631999969,12.38199997
Andorra,Andorra la Vella,4/24/2024,min,0.108999997,1.659000039,2.90899992,6.308499813,5.908499718,7.058499813,7.982000351
Andorra,Andorra la Vella,4/24/2024,avg,5.709000006,5.984000027,7.334000349,8.008499861,8.183499813,8.345249891,10.18200016
Andorra,Andorra la Vella,4/25/2024,max,10.4090004,11.50900078,9.458499908,11.60850048,9.081999779,12.83199978,12.53199959
Andorra,Andorra la Vella,4/25/2024,min,1.759000063,3.309000015,5.40899992,6.108500004,6.208499908,7.131999969,7.831999779
Andorra,Andorra la Vella,4/25/2024,avg,6.08400023,7.409000397,7.433749914,8.858500242,7.645249844,9.981999874,10.18199968
Andorra,Andorra la Vella,4/26/2024,max,11.70900059,10.60900021,10.90850067,10.15850067,11.43200016,12.88199997,7.68200016
Andorra,Andorra la Vella,4/26/2024,min,2.458999872,5.508999825,5.508499622,6.558499813,6.031999588,4.18200016,2.582000017
Andorra,Andorra la Vella,4/26/2024,avg,7.08400023,8.059000015,8.208500147,8.358500242,8.731999874,8.532000065,5.132000089
Andorra,Andorra la Vella,4/27/2024,max,11.85900021,10.85900021,9.108500481,14.40850067,12.18200016,9.93200016,12.13199997
Andorra,Andorra la Vella,4/27/2024,min,5.559000015,5.758999825,5.920500278,4.958499908,3.282000065,1.981999993,0.532000005
Andorra,Andorra la Vella,4/27/2024,avg,8.709000111,8.309000015,7.51450038,9.68350029,7.732000113,5.957000077,6.331999987
Andorra,Andorra la Vella,4/28/2024,max,11.00900078,9.959000587,13.2585001,12.7585001,9.381999969,12.33199978,13.4819994
Andorra,Andorra la Vella,4/28/2024,min,4.858999729,5.209000111,6.008499622,4.158499718,1.158500075,0.332000017,1.782000065
Andorra,Andorra la Vella,4/28/2024,avg,7.934000254,7.584000349,9.633499861,8.458499908,5.270250022,6.331999898,7.631999731
Andorra,Andorra la Vella,4/29/2024,max,8.909000397,13.6590004,11.30850029,11.40850067,13.9819994,18.13199997,20.18200111
Andorra,Andorra la Vella,4/29/2024,min,4.559000015,4.709000111,2.908499956,1.208500028,1.108500004,2.931999922,8.482000351
Andorra,Andorra la Vella,4/29/2024,avg,6.734000206,9.184000254,7.108500123,6.30850035,7.545249701,10.53199995,14.33200073
Andorra,Andorra la Vella,4/30/2024,max,11.85900021,11.55900002,11.7585001,13.55850029,14.38199997,16.23200035,19.0320015
Andorra,Andorra la Vella,4/30/2024,min,4.108999729,3.458999872,3.758999825,2.158499956,4.058499813,4.131999969,7.531999588
Andorra,Andorra la Vella,4/30/2024,avg,7.983999968,7.508999944,7.758749962,7.858500123,9.220249891,10.18200016,13.28200054
Andorra,Andorra la Vella,5/1/2024,max,13.10900021,10.6590004,14.05900002,16.45849991,17.95849991,15.33199978,17.88199997
Andorra,Andorra la Vella,5/1/2024,min,3.959000111,2.508999825,2.40899992,5.258499622,7.358500004,7.581999779,5.381999969
Andorra,Andorra la Vella,5/1/2024,avg,8.534000158,6.584000111,8.233999968,10.85849977,12.65849996,11.45699978,11.63199997
Andorra,Andorra la Vella,5/2/2024,max,11.50900078,13.45900059,17.60900116,19.25850105,14.05850029,17.48200035,19.23200035
Andorra,Andorra la Vella,5/2/2024,min,2.858999968,2.458999872,5.108999729,8.708499908,8.458499908,5.458499908,3.782000065
Andorra,Andorra la Vella,5/2/2024,avg,7.184000373,7.95900023,11.35900044,13.98350048,11.2585001,11.47025013,11.50700021
Andorra,Andorra la Vella,5/3/2024,max,13.50900078,17.30900002,19.00850105,13.95849991,14.4819994,19.23200035,18.43200111
Andorra,Andorra la Vella,5/3/2024,min,1.509000063,4.858999729,8.609000206,8.608500481,5.058499813,3.782000065,5.781999588
